DC,Dd,ID,iz,izL,wlp,wlpL
-0.1146530522788238,-0.07220800357285367,17.0,43,39,2,1
0.25726128216348887,0.3026693554409597,18.0,48,41,2,1
-0.42803772097519116,-0.47472209364024687,18.0,13,48,1,2
0.18586607216022943,0.2290135372302038,19.0,76,59,2,1
-0.1792284099890148,-0.22233804835500592,19.0,67,76,1,2
0.03542155275930883,0.035619199056534656,19.0,67,67,1,1
0.008583389852262625,0.00863023341444552,19.0,67,67,1,1
0.0071729603829314564,0.00721179768488206,19.0,57,67,1,1
-0.008975960289274228,-0.009024603889958432,19.0,58,57,1,1
0.1791906075378652,0.2222136493255602,19.0,67,58,2,1
-0.004957254332561847,-0.004981730653858443,21.0,55,54,1,1
-0.01768323492869462,-0.017771545498291852,21.0,63,55,1,1
-0.0004971659398262385,-0.0005004299848948568,22.0,25,24,2,2
0.19769653668919873,0.2372268187696101,23.0,69,60,2,1
0.005356015771010636,0.005373257078797877,23.0,79,69,2,2
-0.004498437895751398,-0.004512912380479711,23.0,80,79,2,2
0.019168343150553116,0.019229569245390276,23.0,71,80,2,2
-0.1288786010228506,-0.16802889847140837,23.0,70,71,1,2
0.1723454636124581,0.21163031432683233,23.0,79,70,2,1
0.03343070972788356,0.03353027746715725,23.0,80,79,2,2
-0.10531755902202203,-0.14424545882845138,23.0,70,80,1,2
0.02617934394015145,0.026290937068138474,23.0,70,70,1,1
0.025081824271788733,0.025186022111591506,23.0,70,70,1,1
0.023271730424361287,0.02336608951161817,23.0,61,70,1,1
0.02165767180835665,0.02174352769566394,23.0,69,61,1,1
1.388944514957302e-12,1.3890000261085333e-12,24.0,39,41,0,0
-2.4421020761167256e-11,-2.4421020761167256e-11,24.0,32,39,0,0
-6.620426429293502e-12,-6.6204819404447335e-12,24.0,39,32,0,0
2.729871884099566e-12,2.7299273952507974e-12,24.0,40,39,0,0
3.690103778097864e-12,3.690159289249095e-12,24.0,39,40,0,0
3.3205105332001494e-12,3.3205660443513807e-12,24.0,50,39,0,0
3.4382496849616473e-12,3.4380276403567223e-12,24.0,39,50,0,0
3.55621088132807e-12,3.556155370176839e-12,24.0,40,39,0,0
3.2677749395304545e-12,3.2679414729841483e-12,24.0,49,40,0,0
2.998934434117473e-12,2.9988234118150103e-12,24.0,31,49,0,0
2.4024671141376075e-12,2.4025226252888388e-12,24.0,30,31,0,0
2.5962010319346973e-12,2.596145520783466e-12,24.0,31,30,0,0
2.0532464617417645e-12,2.0534685063466895e-12,24.0,48,31,0,0
2.234601392814284e-12,2.2345458816630526e-12,24.0,31,48,0,0
1.7063572776976343e-12,1.706301766546403e-12,24.0,30,31,0,0
-0.319547954457028,-0.3658242743478374,25.0,3,23,1,2
0.3683877875535362,0.4148909736885687,25.0,4,3,2,1
0.020690906813204582,0.02078371194578174,25.0,5,4,2,2
-0.0036435530143159867,-0.0036652580595678552,26.0,49,50,1,1
0.024426549788039403,0.02457055186627688,26.0,40,49,1,1
-0.007732685175879855,-0.007777889581809472,26.0,40,40,1,1
0.009017512146703183,0.009070193502389579,26.0,40,40,1,1
0.010711176105076992,0.010773134341410084,26.0,49,40,1,1
0.010278632175204194,0.01033746408405073,26.0,49,49,1,1
-0.010645755993352074,-0.010706700482360776,26.0,41,49,1,1
-0.015058229602026019,-0.015145556422041628,26.0,48,41,1,1
0.004785309076729638,0.004813203904068697,26.0,41,48,1,1
-0.35467327932385084,-0.45606175061606213,26.0,31,41,0,1
0.3838819858131848,0.4854378422534452,26.0,40,31,1,0
-0.023940646439370425,-0.02407747754091516,26.0,31,40,1,1
0.0009154072136282887,0.000920699963314342,26.0,41,31,1,1
0.002561847446553356,0.002576633795688843,26.0,41,41,1,1
0.002164973234412948,0.0021774392554534394,26.0,49,41,1,1
0.0029957651660089124,0.003012970221794975,26.0,41,49,1,1
0.23274824885190648,0.2351794927440085,27.0,64,38,0,0
0.05704274389228625,0.05755637921155604,27.0,56,64,0,0
0.006567903097133093,0.0066251677020156,27.0,65,56,0,0
0.3386329469201805,0.4300814649627512,27.0,72,65,1,0
0.021646911346552333,0.021732509293169118,27.0,73,72,1,1
-0.2261763014862713,-0.31662041155010423,27.0,63,73,0,1
0.013909724394755511,0.01401457841707665,27.0,64,63,0,0
0.018015040432157292,0.018148675371534695,27.0,65,64,0,0
